16
E Y J B Y A D J C U C S U C K U
E B C B B S D S K J C B A S A K
J C A D K S J C S J Y D A S U E
C D S A A J E S E Y U B C A A D
B Y B D B D E J C E E C J D D A
B Y C C A S C J D E S A S E J B
A D E Y E C B B E J S S E C J J
E C J S B B S J S J C C B C E E
D J B J S D D B D D B E S S D J
E S B D E B S S E B E J S S E B
S S B B S B S E S J J E B B S J
B J B J J E S J B E B E B J E B
J J E J E B J J J J J B E B E E
J J J B J B J E B B J J J B B E
B J E B J B B E B J E E E B E E
B E B J J B J J J J J J J J J J
