16
G J T K J U G W Y O U Y W T G V
W R U Y F O E T K W T K Y J Y V
K Y Y E U R U R U V T G V E V V
J G G K T O T F E R W J F V V F
O G E G U E G W T E F G J W O E
F O O E F O E F O U J T G U O U
U E O O E W T F W E F E T G E T
V G G T F W J V G V O O W O F G
J G F O G V W V F V V G F G O O
F W F V F O V V V G G W V F W O
F V G G V G O F G W W V F V F O
G W O G G F F F G F W V W O W V
G G O G W G W W O G W O V F O V
O F G V G V F F O F V F F O F G
G G F V G G G V F V V G F F F V
F F F F F F F F F F F F F F F F
