18
K D Z F K M J B F K N B Z F N I T T
Z J F T J N T M I D K L I I L K Z M
M B T I M T I T T I N B D M N K K J
M L I D N D L N T D M K M B M I M J
M J J L D K L F J T T K K M T I T D
M D T M B J T B N M I B M K J M D M
B M B B N M D B N K B M T I I K N N
D B K I J K B L J I D M I J J L N J
K I I L B M I K J K K T D I K I K N
I K D I N N K M L J D J I I N L D N
T I N M J D D L D T D J K T J D L I
J I T L T D T D D K K M I I M T J K
M M T I T M T J T K T I I I K T T T
I T L T M T T K K T L L K T K T L T
L L L K L K K K L L T L T K K L T T
L T T L L K K K T K T L L L T T T T
T T L T L T T L L L T T L T T T T L
L L L T L L L L L L L L L L L L L L
