18
Q Z F P Q J I B B I Z I J F Z I Y J
E W Z Q P L P E W E Y Y P Y D I J P
Q L F P P F D B W P F F I F I E W F
P L E Y Y Q F B F Q B P D W L Y L Z
Y D Y W Z F E Q Y L F Q P Y Y W L D
Y Q P P P Q L F P P D D Y E Q Y D D
L D Z W L Q Y W W Z D W W Q P D Q P
E W F W Z Y P P Y Y D Y Q Q E F L E
Y Q W P P Q Q F D Y L D E E F F Y P
L Q W D F Q W D E F L Q P Y Y P D W
W L W E D D E P Q D P Y W E L Q Q F
Y Q P D D Q F Y P E F E Y Q F F P P
E P P L Q L W F W P W P L Q P Q F E
P F E F F F W E P P P P F W E E W W
W P L P L W L W W W P W P W L W L P
L W W L P W P L L L P L L P W P P L
P W L L W P P L W W L W W L P W P L
W P P L L P W P W P W W P P P P P P
