17
R Z U Y G T Z R B C Z X U Y N N Z
J N X G J J T N N T G G T U N U B
B N B T G U T Y G B G T X U G Y R
C R C U C R G C J R B T G N U B U
J X U Y Y Y J G G X U Y X X R J X
R C G J U R X J T Y J U B G Y U R
X C X Y U X B B N X X B B T C G C
J T J G T N X U N U U R C G G X N
J G T C X J N T N J N Y N J G R R
T N G U C U G T U C U R Y Y R U R
U J R J G C R J Y C Y G R U G U U
T C T G Y G T J U T G G Y G R R Y
G J G J X Y Y T T U J J C R J C G
G R T J U C R G Y X G X U U C U J
J R U U Y G R R R G U U R U U G G
Y U G C G G Y G C C G G G C G G G
G G C G C G G C G G G G G G G G G
