21
A L L I J A G H P C K C A A P S H P S C C
L H L A P I H G X R Q S C R C I K X J L K
L A C S R L J C Q A X X G J I Q G R J X Q
K R L C C J X I Q X K X A I X J P A A I R
S C L L P X C X S X X K X K S X X I P L L
J K L S I C G A S G S I P J K A J I S J C
R I P S G P C K K I P R K I C P G I I I P
A S I S P G R C I I P G G S S S K I R I P
R C I G R K P G A K C C G A S R S K K S P
G K C S R G S R K C K P A P S G P I A R P
S G A C S S I G A I I R G R C S S C S K G
P R R K P I R C R P K C G G S G I G I S S
R S S K I G G I I K S R I G K R S K C S S
G R K C C G R I G K R S C C R S I I K G G
K I I S C S I G G I R S R G K K C R C K K
C S S C C C S K C I S C G I G G C I G S G
K C K G I K C I I G K K K I G I G S S K G
C K S S C I I S C G C I I S C C G S I C G
I I G S C I C G G C G G G G G G G G G C I
C C C G C G G I G G I C I C I C G I G I G
G G G C C C C C C C C C C C C C C C C C C
