27
W B D Z K K A R R G F F G W V K A C Y P F C W D O O F
E Z A G R C W Q D Y Y D W Q F V X R W G V V C R X V E
F X X V X G Z R D Y F P Y R R G V Y W G K V F Z V Y Y
O Y X F P A K Z W C Z R E Z Y R C V D K O F A O V C D
O X Z X O E R E K K X W Z E O G Y P Y V Y P K W C F W
K Z P E C O Y R Z D F P A R Z V E Z V Z K D X Y F A O
K O P A E F Y K V A A Q Q V K P X O D A E X Q E X F C
R A E K E A C Y F F K P O R O F F C R K O C K C Z E F
Q C Q P P Z F P Q D R R X P Y P Q P K R K Y X Q C E C
D F O C R K R P F F F Z X P Z R D F F F O C X C K C P
Z E Z Z O F O Y K P K F Y Q X C K D Y Y D P F X F Q Y
D Z P Z C D R P Y X D F F X F C K Y R Y O D P E Q E O
X Q C O F Y Q K X O Q K E Y Z C D P X K Q Z C D Y F K
C O P P K R Y Z F R O K R Y R R D R Y O P K D Q E X K
Z P R P C X X F Y O F O E P R Y X X R P O Q Y P E R Z
X R X C X Y K F R Q Z O Y F K P P Y Q Y K X E X X R E
O D E R K R C D Q F E O Q X C D Q R P P O K D X Q R X
X E Q O R K Z Z D C E X D P P X F Z K O Q D K K D F C
X E E Z X E C Z Q K R O D P K Z K O O E C E O D D P X
O O C X K Z K E X X D E K R K C O K Q Z R E E E O Q Z
O E R Z D D P R O K E C P R E R O P K Q O D R R O Z D
R K K Z O D O P E R R Z D O P R K P O P Z R Z D Q K K
O E R E D O D D P D Z R Z P O P P P E D Z D O K K K P
P K E K R E P R K O O D D O D D Z O E R O R D O O R R
D R O O Z R D O R R R D R O O O R R D O O O O O O D D
O D O O D D D D D O O D D O D D D O O O O D D D O D O
O O O D D O O O D O D O O O D D D D D O D O O O O O O
