18
O G Z C Z R Z U K I O I K K Z C C Z
U K I Z O Q F C M O K Q T T Q F G C
G Q O F R R Q W U Z U U O O Z I Z T
R T C K F Q F D R Z O U K C T D Q Q
R O K R R Z O G F D R I D T W Q K O
G F K C I T F W D K C U K C D I R R
C Q I I U Q C I Q R I I R D C T Q R
F I C Q Z Q R Z Z I C F K Q Q D R U
D Q F R I C R F D Q Q Q D D D U K K
T F F F C K U K K Q T R T Z R T Q F
U U T U T T K R Q Z T F Q F F F R Q
F F U T Q R U R T K Q F K R R Q F R
Q R R K Q Q T R T T U R F K T R R F
Q K F F F T T F T Q K U U Q T Q F U
K U Q F F Q U Q Q F T T K K U U F F
U K F K K F T F F U F U F U T U T T
F F T F U U F F F U F F F F U T T T
T U T T T U F T F F T T F T T T T T
