23
B O F U P B X Z O F M T X D U B Q Y X Q Z Q B
K K P O D P M B R R D O D P F F R D X O K U Q
B K M B U X X R H R X U U B K U X D K H H X Y
M R K B K K K Z K Y U R T T P K Z X K U U O Z
P H T D Y O D Y M K B M U Z T R Q O R M P Q R
O B H H H K X O H R Q Y B B K P Z D K D T T R
Y U Z Y T Q H X O D U Y K Q B Z Z Z M Q R U Q
M Q X R P Z D U Y T B B Y M Q M M K H T R H P
Y K Z O Q Z O Z U Q R Q H U R P O M R M Z D X
B M H T D R R Q X Z M R Q K R X H P X P O O U
B U O H Z H U D T U O Z O H X U D M B B H K D
D O U X T Z R R H U H K B O Z X D H B R K B M
K K U M X K X D H K T B O M T X O U D Q Q B M
D B H U R R U R U K B M O D D B U K D H D M B
B R H H U D D O H B B O K O M D M H H M M H M
M B K O K M K K D B K K D K H D O M H O K M O
H D B B D D K B B K O K D D O M H H H D M D D
O O O O K D B D O O D B O M B K O M M D O M O
K M O D K K M M B O D O D D D K K O K D O O K
O O D M M K K K M K D O D M B M K B B D D M D
M D K M K M K M D M D K D M M M K M D K K D M
M M K M K K M M K D D M K D M M D D D M D D M
D M M M M M M D M D M M M D D M D M M M M M M
