20
C H W H Z F E O W H F K H E R X C X R I
K W B C T I T E Z F I I X H T C H I W T
X H I B B X K I T K W K I T T H F T H R
X B F C Z C Z X X C C T Z I F Z T F B F
K R X C I I K R I R C H B C I T X X X X
H Z F K B Z C H C F X X B H C Z H X R I
H C F I H C C R B B C F I C I H Z B R R
I I I C H H B H K C C I C R R H R F C I
R R F C B C I K B I F K C Z B C I Z Z F
K F Z K Z Z C B C R R I B K I K C K Z I
B B C B K Z I K I K K B C Z R R R Z I I
C I Z Z K R I B F F Z I I B I R I F C C
Z I B F K C B Z B I C C B K R Z Z R Z R
C K K C C F F K K R C F C I C C R F R C
K K I R K C I F I F K F F F I R R F I R
I F K I F R R K I I I F K F K K F I I F
F I F I I I I I I F F R F F R F F R R R
F F F R F R R R F R F F F R F F F R F F
R R F F R F R F R F F R F F F R F R R R
R R R R R R R R R R R R R R R R R R R R
